,Code,year,VaccinePct
0,AFG,2000,35.0
1,AFG,2001,56.0
2,AFG,2002,43.7
3,AFG,2003,49.7
4,AFG,2004,60.0
5,AFG,2005,64.0
6,AFG,2006,68.0
7,AFG,2007,70.0
8,AFG,2008,75.0
9,AFG,2009,76.0
10,AFG,2010,79.0
11,AFG,2011,82.0
12,AFG,2012,85.0
13,AFG,2013,91.98642396
14,AFG,2014,97.0
15,AFG,2015,92.0
16,AFG,2016,74.69293914
17,ALB,2000,91.5
18,ALB,2001,95.0
19,ALB,2002,96.0
20,ALB,2003,93.2
21,ALB,2004,96.2
22,ALB,2005,97.0
23,ALB,2006,95.0
24,ALB,2007,97.0
25,ALB,2008,98.0
26,ALB,2009,97.0
27,ALB,2010,98.9
28,ALB,2011,98.9
29,ALB,2012,98.48476485
30,ALB,2013,98.7
31,ALB,2014,97.6
32,ALB,2015,97.0
33,ALB,2016,96.3
34,DZA,2000,-1.0
35,DZA,2001,78.0
36,DZA,2002,81.0
37,DZA,2003,84.0
38,DZA,2004,81.0
39,DZA,2005,83.0
40,DZA,2006,91.0
41,DZA,2007,92.0
42,DZA,2008,88.0
43,DZA,2009,92.0
44,DZA,2010,88.0
45,DZA,2011,84.0
46,DZA,2012,90.0
47,DZA,2013,91.0
48,DZA,2014,93.5140115
49,DZA,2015,93.0
50,DZA,2016,94.0
51,AND,2000,-1.0
52,AND,2001,-1.0
53,AND,2002,-1.0
54,AND,2003,96.32
55,AND,2004,97.6
56,AND,2005,-1.0
57,AND,2006,-1.0
58,AND,2007,-1.0
59,AND,2008,98.0
60,AND,2009,-1.0
61,AND,2010,-1.0
62,AND,2011,-1.0
63,AND,2012,-1.0
64,AND,2013,-1.0
65,AND,2014,-1.0
66,AND,2015,-1.0
67,AND,2016,-1.0
68,AGO,2000,-1.0
69,AGO,2001,72.0
70,AGO,2002,72.0
71,AGO,2003,62.0
72,AGO,2004,64.0
73,AGO,2005,45.0
74,AGO,2006,48.0
75,AGO,2007,88.0
76,AGO,2008,79.0
77,AGO,2009,77.0
78,AGO,2010,93.0
79,AGO,2011,88.44090156
80,AGO,2012,96.96026273
81,AGO,2013,105.0
82,AGO,2014,85.0
83,AGO,2015,80.0
84,AGO,2016,74.0
85,ATG,2000,-1.0
86,ATG,2001,96.6
87,ATG,2002,127.0
88,ATG,2003,99.0
89,ATG,2004,97.0
90,ATG,2005,100.0
91,ATG,2006,100.0
92,ATG,2007,99.0
93,ATG,2008,105.0
94,ATG,2009,99.44367177
95,ATG,2010,98.24304539
96,ATG,2011,99.80732177
97,ATG,2012,100.16460909999999
98,ATG,2013,-1.0
99,ATG,2014,-1.0
100,ATG,2015,101.9444444
101,ARG,2000,91.0
102,ARG,2001,89.0
103,ARG,2002,95.0
104,ARG,2003,96.8
105,ARG,2004,99.1
106,ARG,2005,110.0
107,ARG,2006,97.0
108,ARG,2007,94.0
109,ARG,2008,97.0
110,ARG,2009,103.0
111,ARG,2010,104.9
112,ARG,2011,95.0
113,ARG,2012,94.0
114,ARG,2013,94.0
115,ARG,2014,94.8
116,ARG,2015,89.0
117,ARG,2016,90.2296041
118,ARM,2000,91.6
119,ARM,2001,95.5
120,ARM,2002,59.5
121,ARM,2003,93.8
122,ARM,2004,91.5
123,ARM,2005,94.1
124,ARM,2006,92.0
125,ARM,2007,92.0
126,ARM,2008,94.0
127,ARM,2009,96.0
128,ARM,2010,97.0
129,ARM,2011,97.0
130,ARM,2012,97.21
131,ARM,2013,97.18
132,ARM,2014,97.0
133,ARM,2015,97.0
134,ARM,2016,97.0
135,AUS,2000,91.0
136,AUS,2001,92.0
137,AUS,2002,94.0
138,AUS,2003,94.0
139,AUS,2004,94.0
140,AUS,2005,94.0
141,AUS,2006,94.0
142,AUS,2007,94.0
143,AUS,2008,-1.0
144,AUS,2009,93.70308153
145,AUS,2010,93.94
146,AUS,2011,94.0
