,Code,year,VaccinePct
0,AFG,2000,41.0
1,AFG,2001,67.0
2,AFG,2002,57.9
3,AFG,2003,65.0
4,AFG,2004,80.0
5,AFG,2005,88.0
6,AFG,2006,106.0
7,AFG,2007,93.0
8,AFG,2008,-1.0
9,AFG,2009,94.0
10,AFG,2010,99.0
11,AFG,2011,100.0
12,AFG,2012,106.0
13,AFG,2013,112.48392179999999
14,AFG,2014,120.3498133
15,AFG,2015,111.0
16,AFG,2016,92.04629375
17,ALB,2000,95.2
18,ALB,2001,96.7
19,ALB,2002,98.0
20,ALB,2003,97.2
21,ALB,2004,98.1
22,ALB,2005,99.0
23,ALB,2006,98.0
24,ALB,2007,98.0
25,ALB,2008,99.0
26,ALB,2009,99.0
27,ALB,2010,99.1
28,ALB,2011,99.2
29,ALB,2012,98.90428351
30,ALB,2013,99.3
31,ALB,2014,98.9
32,ALB,2015,98.0
33,ALB,2016,98.7
34,DZA,2000,-1.0
35,DZA,2001,92.0
36,DZA,2002,93.0
37,DZA,2003,93.0
38,DZA,2004,93.0
39,DZA,2005,94.0
40,DZA,2006,97.0
41,DZA,2007,98.0
42,DZA,2008,97.0
43,DZA,2009,98.0
44,DZA,2010,96.0
45,DZA,2011,95.0
46,DZA,2012,98.0
47,DZA,2013,95.0
48,DZA,2014,94.81868065
49,DZA,2015,95.0
50,DZA,2016,96.0
51,AND,2000,-1.0
52,AND,2001,-1.0
53,AND,2002,-1.0
54,AND,2003,-1.0
55,AND,2004,-1.0
56,AND,2005,-1.0
57,AND,2006,-1.0
58,AND,2007,-1.0
59,AND,2008,-1.0
60,AND,2009,-1.0
61,AND,2010,-1.0
62,AND,2011,-1.0
63,AND,2012,-1.0
64,AND,2013,-1.0
65,AND,2014,-1.0
66,AND,2015,-1.0
67,AND,2016,-1.0
68,AGO,2000,44.0
69,AGO,2001,57.0
70,AGO,2002,65.0
71,AGO,2003,68.0
72,AGO,2004,75.0
73,AGO,2005,62.0
74,AGO,2006,69.0
75,AGO,2007,111.0
76,AGO,2008,100.0
77,AGO,2009,93.0
78,AGO,2010,108.0
79,AGO,2011,101.4887348
80,AGO,2012,107.06185
81,AGO,2013,112.0
82,AGO,2014,99.0
83,AGO,2015,95.0
84,AGO,2016,97.0
85,ATG,2000,-1.0
86,ATG,2001,89.3
87,ATG,2002,98.0
88,ATG,2003,-1.0
89,ATG,2004,91.0
90,ATG,2005,100.0
91,ATG,2006,97.0
92,ATG,2007,105.0
93,ATG,2008,106.0
94,ATG,2009,94.9
95,ATG,2010,90.40995608
96,ATG,2011,74.6628131
97,ATG,2012,97.94238683
98,ATG,2013,97.83631232
99,ATG,2014,0.0
100,ATG,2015,103.42592590000001
101,ARG,2000,88.49
102,ARG,2001,91.5
103,ARG,2002,-1.0
104,ARG,2004,96.0
105,ARG,2005,93.0
106,ARG,2006,93.0
107,ARG,2007,94.0
108,ARG,2008,97.2
109,ARG,2009,94.0
110,ARG,2010,94.8
111,ARG,2011,94.4
112,ARG,2012,93.86465558
113,ARG,2013,94.12
114,ARG,2014,98.0
115,ARG,2015,94.0
116,ARG,2016,88.43029016
117,ARM,2000,-1.0
118,ARM,2001,-1.0
119,ARM,2002,-1.0
120,ARM,2003,-1.0
121,ARM,2004,-1.0
122,ARM,2005,-1.0
123,ARM,2006,-1.0
124,ARM,2007,-1.0
125,ARM,2008,-1.0
126,ARM,2009,97.0
127,ARM,2010,50.0
128,ARM,2011,98.0
129,ARM,2012,97.96
130,ARM,2013,97.44
131,ARM,2014,97.0
132,ARM,2015,97.0
133,ARM,2016,97.0
134,AUS,2000,-1.0
135,AUS,2001,-1.0
136,AUS,2002,-1.0
137,AUS,2003,-1.0
138,AUS,2004,-1.0
139,AUS,2005,-1.0
140,AUS,2007,-1.0
141,AUS,2008,-1.0
142,AUS,2009,-1.0
143,AUS,2010,-1.0
144,AUS,2011,-1.0
145,AUS,2012,-1.0
146,AUS,2013,-1.0
147,AUS,2014,-1.0
148,AUS,2015,-1.0
149,AUS,2016,-1.0
150,AUT,2000,75.0
151,AUT,2001,75.0
152,AUT,2002,76.8
153,AUT,2003,68.14
154,AUT,2004,97.1
155,AUT,2005,68.0
156,AUT,2006,69.0
157,AUT,2007,68.0
158,AUT,2008,65.0
159,AUT,2009,60.99
160,AUT,2010,-1.0
161,AUT,2011,-1.0
162,AUT,2012,-1.0
163,AUT,2014,-1.0
164,AUT,2015,-1.0
165,AUT,2016,-1.0
166,AZE,2000,99.0
167,AZE,2001,98.0
168,AZE,2002,97.38
169,AZE,2003,98.1
170,AZE,2004,97.6
171,AZE,2005,95.0
172,AZE,2006,97.0
173,AZE,2007,97.0
174,AZE,2008,97.0
175,AZE,2009,95.9
176,AZE,2010,96.6
177,AZE,2011,95.7
178,AZE,2012,94.87806972
179,AZE,2013,94.8
180,AZE,2014,96.2
181,AZE,2015,97.2
182,AZE,2016,97.6
183,BHS,2000,105.25
184,BHS,2001,105.4885963
185,BHS,2004,103.0
186,BHS,2005,99.76
187,BHS,2006,94.0
188,BHS,2007,104.0
189,BHS,2008,100.0
190,BHS,2009,99.62178517
191,BHS,2010,100.0752021
192,BHS,2011,104.1239073
193,BHS,2012,99.35446009
194,BHS,2013,100.2205735
195,BHS,2014,96.31386075
196,BHS,2015,100.43677199999999
197,BHS,2016,94.98624921
198,BHR,2000,97.6
199,BHR,2001,99.0
200,BHR,2002,100.0
201,BHR,2003,99.0
202,BHR,2004,97.47
203,BHR,2005,98.8
204,BHR,2006,100.0
205,BHR,2007,97.0
206,BHR,2008,99.8
207,BHR,2009,98.0
208,BHR,2010,99.7
209,BHR,2011,98.6
210,BHR,2012,99.76
211,BHR,2013,98.9
212,BHR,2014,98.39
213,BHR,2015,98.1
214,BHR,2016,99.2
215,BGD,2000,111.0
216,BGD,2001,102.0
217,BGD,2002,89.0
218,BGD,2003,93.0
219,BGD,2004,97.0
220,BGD,2005,96.0
221,BGD,2006,95.0
222,BGD,2007,97.0
223,BGD,2008,95.0
224,BGD,2009,97.42493723
225,BGD,2010,97.58106854
226,BGD,2011,99.0
227,BGD,2012,112.0
228,BGD,2013,109.67499950000001
229,BGD,2014,110.40985409999999
230,BGD,2015,121.46915220000001
231,BGD,2016,119.16655619999999
232,BRB,2000,93.0
233,BRB,2001,91.8
234,BRB,2003,91.34667388
235,BRB,2004,-1.0
236,BRB,2005,-1.0
237,BRB,2006,81.0
238,BRB,2007,93.0
239,BRB,2008,85.0
240,BRB,2009,92.47621793
241,BRB,2010,-1.0
242,BRB,2011,-1.0
243,BRB,2012,-1.0
244,BRB,2013,-1.0
245,BRB,2014,97.60831889
246,BRB,2015,95.69478474
247,BRB,2016,100.43086559999999
248,BLR,2000,-1.0
249,BLR,2001,-1.0
250,BLR,2002,-1.0
251,BLR,2003,-1.0
252,BLR,2004,-1.0
253,BLR,2005,99.2
254,BLR,2006,99.0
255,BLR,2007,99.0
256,BLR,2008,98.0
257,BLR,2009,97.8
258,BLR,2010,97.4
259,BLR,2011,98.9
260,BLR,2012,98.3
261,BLR,2013,98.9
262,BLR,2014,97.1
263,BLR,2015,98.9
264,BLR,2016,99.0
265,BEL,2000,-1.0
266,BEL,2001,-1.0
267,BEL,2002,-1.0
268,BEL,2003,-1.0
269,BEL,2004,-1.0
270,BEL,2005,-1.0
271,BEL,2006,-1.0
272,BEL,2007,-1.0
273,BEL,2008,-1.0
274,BEL,2009,-1.0
275,BEL,2010,-1.0
276,BEL,2011,-1.0
277,BEL,2012,-1.0
278,BEL,2013,-1.0
279,BEL,2014,-1.0
280,BEL,2015,-1.0
281,BEL,2016,-1.0
282,BLZ,2000,88.45
283,BLZ,2002,101.0
284,BLZ,2003,98.96688742
285,BLZ,2004,98.0
286,BLZ,2005,95.0
287,BLZ,2006,98.0
288,BLZ,2007,98.0
289,BLZ,2008,98.0
290,BLZ,2009,99.16055963
291,BLZ,2010,96.05070047
292,BLZ,2011,97.92833147
293,BLZ,2012,96.21889179
294,BLZ,2013,96.24928694
295,BLZ,2014,96.41281139
296,BLZ,2015,96.86130355
297,BLZ,2016,93.75089993
298,BEN,2000,100.0
299,BEN,2001,99.0
300,BEN,2002,110.0
301,BEN,2003,104.0
302,BEN,2004,108.0
303,BEN,2005,106.0
304,BEN,2006,103.0
305,BEN,2007,107.0
306,BEN,2008,105.0
307,BEN,2009,106.0
308,BEN,2010,103.7843352
309,BEN,2011,110.9
310,BEN,2012,109.89
311,BEN,2013,98.0
312,BEN,2014,98.0
313,BEN,2015,105.0
314,BEN,2016,112.0
315,BTN,2000,99.0
316,BTN,2001,87.0
317,BTN,2002,86.0
318,BTN,2003,98.0
319,BTN,2004,94.0
320,BTN,2005,97.35713297
321,BTN,2006,98.0
322,BTN,2007,92.0
323,BTN,2008,97.0
324,BTN,2009,89.0
325,BTN,2010,94.0
326,BTN,2011,93.0
327,BTN,2012,99.0
328,BTN,2013,97.0
329,BTN,2014,98.0
330,BTN,2015,97.0
331,BTN,2016,97.0
332,BOL,2000,98.0
333,BOL,2001,97.4
334,BOL,2002,100.0
335,BOL,2003,99.0
336,BOL,2004,88.0
337,BOL,2005,92.79
338,BOL,2006,87.0
339,BOL,2007,85.0
340,BOL,2008,87.12398013
341,BOL,2009,86.95099028
342,BOL,2010,87.02700019
343,BOL,2011,89.45624620000001
344,BOL,2012,84.99825708
345,BOL,2013,87.49731145
346,BOL,2014,93.92678732
347,BOL,2015,97.43199255
348,BOL,2016,93.44766750000001
349,BIH,2000,90.2
350,BIH,2001,94.4
351,BIH,2002,86.5
352,BIH,2003,93.3
353,BIH,2004,93.0
354,BIH,2005,94.0
355,BIH,2006,94.0
356,BIH,2007,95.0
357,BIH,2008,95.0
358,BIH,2009,95.0
359,BIH,2010,90.14828357
360,BIH,2011,94.46872645
361,BIH,2012,94.21406427
362,BIH,2014,88.0
363,BIH,2015,88.9
364,BIH,2016,90.0
365,BWA,2000,94.0
366,BWA,2001,82.0
367,BWA,2002,99.0
368,BWA,2003,101.0
369,BWA,2004,98.0
370,BWA,2005,141.0
371,BWA,2006,131.0
372,BWA,2007,104.0
373,BWA,2008,102.0
374,BWA,2009,107.0
375,BWA,2010,104.0
376,BWA,2011,123.0
377,BWA,2012,125.0
378,BWA,2013,103.5962949
379,BWA,2014,108.0406313
380,BWA,2015,87.0
381,BWA,2016,108.0
382,BRA,2000,100.0
383,BRA,2001,100.0
384,BRA,2002,100.0
385,BRA,2003,107.0
386,BRA,2004,104.0
387,BRA,2005,104.0
388,BRA,2006,104.0
389,BRA,2007,103.0
390,BRA,2008,100.0
391,BRA,2009,102.0
392,BRA,2010,100.0
393,BRA,2011,103.0
394,BRA,2012,101.0
395,BRA,2013,104.0
396,BRA,2014,101.0
397,BRA,2015,96.89
398,BRA,2016,89.29784651
399,BRN,2000,98.6
400,BRN,2001,100.0
401,BRN,2002,-1.0
402,BRN,2003,-1.0
403,BRN,2004,101.0
404,BRN,2005,100.0
405,BRN,2006,104.0
406,BRN,2007,99.0
407,BRN,2008,96.6
408,BRN,2009,96.49
409,BRN,2010,97.5
410,BRN,2011,96.0
411,BRN,2012,103.0
412,BRN,2013,99.8
413,BRN,2014,100.0
414,BRN,2015,100.0
415,BRN,2016,100.0
416,BGR,2000,94.0
417,BGR,2001,95.17
418,BGR,2002,90.2
419,BGR,2003,96.5
420,BGR,2004,92.9
421,BGR,2005,96.8
422,BGR,2006,97.0
423,BGR,2007,96.0
424,BGR,2008,97.0
425,BGR,2009,95.8
426,BGR,2010,95.5
427,BGR,2011,96.5
428,BGR,2012,95.9
429,BGR,2013,96.4
430,BGR,2014,90.1
431,BGR,2015,93.4
432,BGR,2016,94.3
433,BFA,2000,84.3
434,BFA,2001,86.0
435,BFA,2002,89.0
436,BFA,2003,97.0
437,BFA,2004,101.0
438,BFA,2005,105.08
439,BFA,2006,102.0
440,BFA,2007,109.0
441,BFA,2008,111.0
442,BFA,2009,107.7141396
443,BFA,2010,107.34909040000001
444,BFA,2011,106.577097
445,BFA,2012,106.79
446,BFA,2013,105.09
447,BFA,2014,108.7
448,BFA,2015,108.75
449,BFA,2016,106.4932389
450,BDI,2000,74.0
451,BDI,2001,62.0
452,BDI,2002,109.0
453,BDI,2003,96.0
454,BDI,2004,95.0
455,BDI,2005,96.3
456,BDI,2006,92.0
457,BDI,2007,98.0
458,BDI,2008,102.0
459,BDI,2009,103.6154597
460,BDI,2010,99.0
461,BDI,2011,112.0
462,BDI,2012,107.0
463,BDI,2013,105.0
464,BDI,2014,104.9
465,BDI,2015,106.4
466,BDI,2016,103.1391105
467,CPV,2000,71.5
468,CPV,2001,78.9
469,CPV,2002,96.0
470,CPV,2003,89.0
471,CPV,2004,78.0
472,CPV,2005,75.2
473,CPV,2006,74.0
474,CPV,2007,83.0
475,CPV,2008,80.0
476,CPV,2009,73.49
477,CPV,2010,-1.0
478,CPV,2011,103.83
479,CPV,2012,98.11287164
480,CPV,2013,93.02348053
481,CPV,2014,98.59244364
482,CPV,2015,91.99200152
483,CPV,2016,96.15421138
484,KHM,2000,83.0
485,KHM,2001,77.0
486,KHM,2002,72.0
487,KHM,2003,74.0
488,KHM,2004,92.0
489,KHM,2005,85.0
490,KHM,2006,85.0
491,KHM,2007,87.0
492,KHM,2008,95.0
493,KHM,2009,100.0
494,KHM,2010,93.297521
495,KHM,2011,96.34707179
496,KHM,2012,96.53838792
497,KHM,2013,95.36002527
498,KHM,2014,101.43997490000001
499,KHM,2015,104.0
500,KHM,2016,103.7513872
501,CMR,2000,62.0
502,CMR,2001,54.0
503,CMR,2002,71.0
504,CMR,2003,79.0
505,CMR,2004,80.0
506,CMR,2005,85.1
507,CMR,2006,87.0
508,CMR,2007,90.0
509,CMR,2008,93.0
510,CMR,2009,87.6
511,CMR,2010,91.64
512,CMR,2011,89.79616436
513,CMR,2012,93.58
514,CMR,2013,95.1
515,CMR,2014,92.97438821
516,CMR,2015,91.7259497
517,CMR,2016,92.09525706
518,CAN,2000,-1.0
519,CAN,2001,-1.0
520,CAN,2002,-1.0
521,CAN,2003,-1.0
522,CAN,2004,-1.0
523,CAN,2005,-1.0
524,CAN,2006,-1.0
525,CAN,2007,-1.0
526,CAN,2008,-1.0
527,CAN,2009,-1.0
528,CAN,2010,-1.0
529,CAN,2011,-1.0
530,CAN,2012,-1.0
531,CAN,2013,-1.0
532,CAN,2014,-1.0
533,CAN,2015,-1.0
534,CAN,2016,-1.0
535,CAF,2000,45.0
536,CAF,2001,36.0
537,CAF,2002,29.0
538,CAF,2003,52.0
539,CAF,2004,73.0
540,CAF,2005,63.88
541,CAF,2006,105.0
542,CAF,2007,102.0
543,CAF,2008,87.0
544,CAF,2009,75.66143062
545,CAF,2010,74.86074358
546,CAF,2011,83.53748057
547,CAF,2012,68.16229759999999
548,CAF,2013,44.43683978
549,CAF,2014,66.0
550,CAF,2015,69.0
551,CAF,2016,79.47808083
552,TCD,2000,45.0
553,TCD,2001,32.0
554,TCD,2002,68.0
555,TCD,2003,74.0
556,TCD,2004,68.0
557,TCD,2005,82.0
558,TCD,2006,98.0
559,TCD,2007,93.0
560,TCD,2008,74.0
561,TCD,2009,95.0
562,TCD,2010,100.0
563,TCD,2011,94.0
564,TCD,2012,103.0
565,TCD,2013,103.0
566,TCD,2014,99.0
567,TCD,2015,107.0
568,TCD,2016,103.76867
569,CHL,2000,97.9
570,CHL,2001,99.53172037
571,CHL,2002,-1.0
572,CHL,2003,95.0
573,CHL,2004,94.0
574,CHL,2005,92.0
575,CHL,2006,95.0
576,CHL,2007,98.0
577,CHL,2008,98.0
578,CHL,2009,93.20620213
579,CHL,2010,92.58499145
580,CHL,2011,93.50678715
581,CHL,2012,90.31103847
582,CHL,2013,100.0
583,CHL,2014,98.88
584,CHL,2015,96.93412057
585,CHL,2016,98.94059535
586,CHN,2000,-1.0
587,CHN,2001,98.27
