,Code,year,VaccinePct
0,AFG,2004,-1.0
1,AFG,2005,-1.0
2,AFG,2006,-1.0
3,AFG,2007,-1.0
4,AFG,2008,-1.0
5,AFG,2009,-1.0
6,AFG,2010,-1.0
7,AFG,2011,-1.0
8,AFG,2012,-1.0
9,AFG,2013,-1.0
10,AFG,2014,-1.0
11,AFG,2015,-1.0
12,AFG,2016,-1.0
13,ALB,2000,-1.0
14,ALB,2004,96.2
15,ALB,2005,97.2
16,ALB,2006,94.8
17,ALB,2007,97.2
18,ALB,2008,98.0
19,ALB,2009,97.0
20,ALB,2010,98.9
21,ALB,2011,98.9
22,ALB,2012,98.48476485
23,ALB,2013,98.7
24,ALB,2014,97.6
25,ALB,2015,97.0
26,ALB,2016,96.3
27,DZA,2004,-1.0
28,DZA,2005,-1.0
29,DZA,2006,-1.0
30,DZA,2007,-1.0
31,DZA,2008,-1.0
32,DZA,2009,-1.0
33,DZA,2010,-1.0
34,DZA,2011,-1.0
35,DZA,2012,-1.0
36,DZA,2013,-1.0
37,DZA,2014,-1.0
38,DZA,2015,-1.0
39,DZA,2016,-1.0
40,AND,2000,-1.0
41,AND,2004,97.5
42,AND,2005,-1.0
43,AND,2006,-1.0
44,AND,2007,-1.0
45,AND,2008,-1.0
46,AND,2009,-1.0
47,AND,2010,-1.0
48,AND,2011,-1.0
49,AND,2012,-1.0
50,AND,2013,-1.0
51,AND,2014,-1.0
52,AND,2015,-1.0
53,AND,2016,-1.0
54,AGO,2004,-1.0
55,AGO,2005,-1.0
56,AGO,2006,-1.0
57,AGO,2007,-1.0
58,AGO,2008,-1.0
59,AGO,2009,-1.0
60,AGO,2010,0.0
61,AGO,2011,-1.0
62,AGO,2012,-1.0
63,AGO,2013,0.0
64,AGO,2014,-1.0
65,AGO,2015,-1.0
66,AGO,2016,-1.0
67,ATG,2004,-1.0
68,ATG,2005,100.0
69,ATG,2008,105.49450549999999
70,ATG,2009,99.44367177
71,ATG,2010,98.24304539
72,ATG,2011,99.80732177
73,ATG,2012,100.16460909999999
74,ATG,2013,-1.0
75,ATG,2014,-1.0
76,ATG,2015,-1.0
77,ARG,2004,-1.0
78,ARG,2005,-1.0
79,ARG,2008,97.2237126
80,ARG,2009,101.65146419999999
81,ARG,2010,104.9
82,ARG,2011,95.42664275
83,ARG,2012,94.11122900000001
84,ARG,2013,93.58
85,ARG,2014,94.896
86,ARG,2015,88.73
87,ARG,2016,90.2296041
88,ARM,2000,-1.0
89,ARM,2004,91.5
90,ARM,2005,94.1
91,ARM,2006,91.9
92,ARM,2007,-1.0
93,ARM,2008,94.0
94,ARM,2009,96.0
95,ARM,2010,97.0
96,ARM,2011,97.0
97,ARM,2012,-1.0
98,ARM,2013,97.18
99,ARM,2014,97.0
100,ARM,2015,97.0
101,ARM,2016,97.0
102,AUS,2004,93.6
103,AUS,2005,93.7
104,AUS,2007,-1.0
105,AUS,2008,-1.0
106,AUS,2009,93.70308153
107,AUS,2010,93.94
108,AUS,2011,94.0
109,AUS,2012,94.42
110,AUS,2013,93.72
111,AUS,2014,94.4
112,AUS,2015,94.7
113,AUS,2016,-1.0
114,AUT,2004,73.5
115,AUT,2005,75.0
116,AUT,2006,80.0
117,AUT,2007,79.0
118,AUT,2008,83.0
119,AUT,2009,76.0
120,AUT,2010,-1.0
121,AUT,2011,-1.0
122,AUT,2012,-1.0
123,AUT,2014,-1.0
124,AUT,2015,-1.0
125,AUT,2016,-1.0
126,AZE,2000,-1.0
127,AZE,2004,98.4
128,AZE,2005,-1.0
129,AZE,2006,95.8
130,AZE,2007,-1.0
131,AZE,2008,-1.0
132,AZE,2009,-1.0
133,AZE,2010,97.9
134,AZE,2011,-1.0
135,AZE,2012,-1.0
136,AZE,2013,98.1
137,AZE,2014,98.1
138,AZE,2015,98.1
139,AZE,2016,97.5
140,BHS,2004,-1.0
141,BHS,2005,82.2
142,BHS,2008,90.20087336
143,BHS,2009,97.50378215
144,BHS,2010,93.55141944
145,BHS,2011,90.38388445
146,BHS,2012,91.19718309999999
147,BHS,2013,91.49789453
148,BHS,2014,92.0
149,BHS,2015,93.51081531
150,BHS,2016,88.59741908
151,BHR,2004,97.2
152,BHR,2005,100.0
153,BHR,2006,98.0
154,BHR,2007,100.0
155,BHR,2008,100.0
156,BHR,2009,100.0
157,BHR,2010,100.0
158,BHR,2011,100.0
159,BHR,2012,99.89
160,BHR,2013,100.0
161,BHR,2014,99.76
162,BHR,2015,100.0
163,BHR,2016,100.0
164,BGD,2004,-1.0
165,BGD,2005,-1.0
166,BGD,2006,-1.0
167,BGD,2007,-1.0
168,BGD,2008,-1.0
169,BGD,2009,-1.0
170,BGD,2010,-1.0
171,BGD,2011,-1.0
172,BGD,2012,17.0
173,BGD,2013,108.2793979
174,BGD,2014,108.54951319999999
175,BGD,2015,120.1917138
176,BGD,2016,117.8372848
177,BRB,2004,-1.0
178,BRB,2005,-1.0
179,BRB,2008,93.73084425
180,BRB,2009,93.73084425
181,BRB,2010,84.51668092
182,BRB,2011,93.01684533
183,BRB,2012,89.49
184,BRB,2013,86.95786865
185,BRB,2014,94.59459459
186,BRB,2015,96.22183709
187,BRB,2016,91.95443218
188,BLR,2004,98.6
189,BLR,2005,98.7
190,BLR,2006,96.6
191,BLR,2007,99.9
192,BLR,2008,98.7
193,BLR,2009,99.0
194,BLR,2010,98.6
195,BLR,2011,98.8
196,BLR,2012,97.9
197,BLR,2013,99.0
198,BLR,2014,99.0
199,BLR,2015,99.0
200,BLR,2016,98.2
201,BEL,2000,-1.0
202,BEL,2004,-1.0
203,BEL,2005,-1.0
204,BEL,2006,-1.0
205,BEL,2007,-1.0
206,BEL,2008,-1.0
207,BEL,2009,-1.0
208,BEL,2010,-1.0
209,BEL,2011,-1.0
210,BEL,2012,-1.0
211,BEL,2013,-1.0
212,BEL,2014,-1.0
213,BEL,2015,-1.0
214,BEL,2016,-1.0
215,BLZ,2004,-1.0
216,BLZ,2005,95.13
217,BLZ,2008,95.74017727
218,BLZ,2009,96.94870087
219,BLZ,2010,97.55837225
220,BLZ,2011,98.06830907
221,BLZ,2012,96.94761446
222,BLZ,2013,99.04449515
223,BLZ,2014,95.3594306
